"position","player","dob","club","country"
"DF","Ali Maaloul","Jan 1, 1990","Al Ahly","Tunisia"
"DF","Ali Abdi","Dec 20, 1993","Caen","Tunisia"
"MF","Ellyes Skhiri","May 10, 1995","FC Koln","Tunisia"
"MF","Aissa Laidouni","Dec 13, 1996","Ferencvaros","Tunisia"
"MF","Ferjani Sassi","Mar 18, 1992","Al-Duhail","Tunisia"
"MF","Ghailene Chaalali","Feb 28, 1994","Esperance de Tunis","Tunisia"
"MF","Hannibal Mejbri","Jan 21, 2003","Manchester United","Tunisia"
"MF","Mohamed Ali Ben Romdhane","Sep 6, 1999","Esperance de Tunis","Tunisia"
"FW","Seifeddine Jaziri","Feb 12, 1993","Zamalek","Tunisia"
"FW","Naim Sliti","Jul 27, 1992","Al-Ettifaq","Tunisia"
"FW","Taha Yassine Khenissi","Jan 6, 1992","Kuwait SC","Tunisia"
"FW","Anis Ben Slimane","Mar 16, 2001","Brondby","Tunisia"
"FW","Issam Jebali","Dec 25, 1991","OB","Tunisia"
"FW","Wahbi Khazri","Feb 8, 1991","Montpellier","Tunisia"
"FW","Youssef Msakni","Oct 28, 1990","Al-Duhail","Tunisia"
"GK","Robert Sanchez","November 18, 1997","Brighton","Spain"
"GK","David Raya","September 15, 1995","Brentford","Spain"
"GK","Unai Simon","June 11, 1997","Athletic Club","Spain"
"DF","Cesar Azpilicueta","August 28, 1989","Chelsea","Spain"
"DF","Hugo Guillamon","January 31, 2000","Valencia","Spain"
"DF","Pau Torrres","January 17, 1997","Villarreal","Spain"
"DF","Eric Garcia","January 9, 2001","Barcelona","Spain"
"DF","Alejandro Balde","October 18, 2003","Barcelona","Spain"
"DF","Dani Carvajal","January 11, 1992","Real Madrid","Spain"
"DF","Aymeric Laporte","May 27, 1994","Manchester City","Spain"
"MF","Sergio Busquets","July 16, 1988","Barcelona","Spain"
"MF","Marcos Llorente","January 30, 1995","Atletico Madrid","Spain"
"MF","Pedri","November 25, 2002","Barcelona","Spain"
"MF","Rodri","June 22, 1996","Manchester City","Spain"
"MF","Koke","January 8, 1992","Atletico Madrid","Spain"
"MF","Gavi","August 5, 2004","Barcelona","Spain"
"MF","Carlos Soler","January 2, 1997","PSG","Spain"
"FW","Alvaro Morata","October 23, 1992","Atletico Madrid","Spain"
"FW","Yeremy Pino","October 20, 2002","Villarreal","Spain"
"FW","Ferran Torres","February 29, 2000","Barcelona","Spain"
"FW","Marco Asensio","January 21, 1996","Real Madrid","Spain"
"FW","Pablo Sarabia","May 11, 1992","PSG","Spain"
"FW","Dani Olmo","May 7, 1998","RB Leipzig","Spain"
"FW","Nico Williams","July 12, 2002","Athletic Club","Spain"
"FW","Ansu Fati","October 31, 2002","Barcelona","Spain"
"GK","Keylor Navas","Dec 15, 1986","PSG","Costa Rica"
"GK","Esteban Alvarado","Apr 28, 1989","Herediano","Costa Rica"
"GK","Patrick Sequeira","Mar 1, 1999","Lugo","Costa Rica"
"DF","Francisco Calvo","Jul 8, 1992","Konyaspor","Costa Rica"
"DF","Bryan Oviedo","Feb 18, 1990","Real Salt Lake","Costa Rica"
"DF","Oscar Duarte","Jun 3, 1989","Al-Wehda","Costa Rica"
"DF","Kendall Waston","Jan 1, 1988","Aprissa","Costa Rica"
"DF","Ronald Matarrita","Jul 9, 1994","Cincinnati","Costa Rica"
"DF","Keysher Fuller","Jul 12, 1994","Herediano","Costa Rica"
"DF","Juan Pablo Vargas","Jun 6, 1995","Millonarios","Costa Rica"
"DF","Carlos Martinez","Mar 30, 1999","San Carlos","Costa Rica"
"MF","Celso Borges","May 27, 1988","Alajuelense","Costa Rica"
"MF","Bryan Ruiz","Aug 18, 1985","Alajuelense","Costa Rica"
"MF","Yeltsin Tejeda","Mar 17, 1992","Herediano","Costa Rica"
"MF","Gerson Torres","Aug 28, 1997","Herediano","Costa Rica"
"MF","Jewison Bennette","Jun 15, 2004","Sunderland","Costa Rica"
"MF","Daniel Chacon","Apr 11, 2001","Colorado Rapids","Costa Rica"
"MF","Youstin Salas","Jun 17, 1996","Saprissa","Costa Rica"
"MF","Roan Wilson","May 1, 2002","Municipal Grecia","Costa Rica"
"MF","Brandon Aguilera","Jun 28, 2003","Nottingham Forest","Costa Rica"
"MF","Douglas Lopez","Sep 21, 1998","Herediano","Costa Rica"
"MF","Anthony Hernandez","Oct 11, 2001","Puntarenas","Costa Rica"
"MF","Alvaro Zamora","Mar 9, 2002","Saprissa","Costa Rica"
"FW","Joel Campbell","Jun 26, 1992","Leon","Costa Rica"
"FW","Johan Venegas","Nov 27, 1988","Alajuelense","Costa Rica"
"FW","Anthony Contreras","Jan 29, 2000","Herediano","Costa Rica"
"GK","Manuel Neuer","Mar 27, 1986","Bayern Munich","Germany"
"GK","Marc-Andre ter Stegen","Apr 30, 1992","Barcelona","Germany"
"GK","Kevin Trapp","Jul 8, 1990","Eintracht Frankfurt","Germany"
"DF","Antonio Rudiger","Mar 3, 1993","Real Madrid","Germany"
"DF","Matthias Ginter","Jan 18, 1994","Freiburg","Germany"
"DF","Niklas Sule","Sep 3, 1995","Borussia Dortmund","Germany"
"DF","Thilo Kehrer","Sep 21, 1996","West Ham","Germany"
"DF","Lukas Klostermann","Jun 3, 1996","RB Leipzig","Germany"
"DF","David Raum","Apr 22, 1998","RB Leipzig","Germany"
"DF","Christian Gunter","Feb 28, 1993","Freiburg","Germany"
"DF","Nico Schlotterbeck","Dec 1, 1999","Borussia Dortmund","Germany"
"DF","Armel Bella-Kotchap","Dec 11, 2001","Southampton","Germany"
"MF","Joshua Kimmich","Feb 8, 1995","Bayern Munich","Germany"
"MF","Mario Gotze","Jun 3, 1992","Eintracht Frankfurt","Germany"
"MF","Ilkay Gundogan","Oct 24, 1990","Manchester City","Germany"
"MF","Leon Goretzka","Feb 6, 1995","Bayern Munich","Germany"
"MF","Julian Brandt","May 2, 1996","Borussia Dortmund","Germany"
"MF","Kai Havertz","Jun 11, 1999","Chelsea","Germany"
"MF","Jamal Musiala","Feb 26, 2003","Bayern Munich","Germany"
"MF","Jonas Hofmann","Jul 14, 1992","Borussia Monchengladbach","Germany"
"FW","Thomas Muller","Sep 13, 1989","Bayern Munich","Germany"
"FW","Leroy Sane","Jan 11, 1996","Bayern Munich","Germany"
"FW","Serge Gnabry","Jul 14, 1995","Bayern Munich","Germany"
"FW","Karim Adeyemi","Jan 18, 2002","Borussia Dortmund","Germany"
"FW","Niclas Fullkrug","Feb 9, 1993","Werder Bremen","Germany"
"FW","Youssoufa Moukoko","Nov 20, 2004","Borussia Dortmund","Germany"
"GK","Eiji Kawashima","Mar 20, 1983","Strasbourg","Japan"
"GK","Shuichi Gonda","Mar 3, 1989","Shimizu S-Pulse","Japan"
"GK","Daniel Schmidt","Feb 3, 1992","Sint-Truiden","Japan"
"DF","Miki Yamane","Dec 22, 1993","Kawasaki Frontale","Japan"
"DF","Shogo Taniguchi","Jul 15, 1991","Kawasaki Frontale","Japan"
"DF","Ko Itakura","Jan 27, 1997","Borussia Monchengladbach","Japan"
"DF","Yuto Nagatomo","Sep 12, 1986","Tokyo","Japan"
"DF","Takehiro Tomiyasu","Nov 5, 1998","Arsenal","Japan"
"DF","Hiroki Sakai","Apr 12, 1990","Urawa Red Diamonds","Japan"
"DF","Maya Yoshida","Aug 24, 1988","Schalke","Japan"
"DF","Hiroki Ito","May 12, 1999","Stuttgart","Japan"
"MF","Wataru Endo","Feb 9, 1993","Stuttgart","Japan"
"MF","Gaku Shibasaki","May 28, 1992","Leganes","Japan"
"MF","Ritsu Doan","Jun 16, 1998","Freiburg","Japan"
"MF","Kaoru Mitoma","May 20, 1997","Brighton","Japan"
"MF","Takumi Minamino","Jan 16, 1995","Monaco","Japan"
"MF","Takefusa Kubo","Jun 4, 2001","Real Sociedad","Japan"
"MF","Hidemasa Morita","May 10, 1995","Sporting","Japan"
"MF","Junya Ito","Mar 9, 1993","Reims","Japan"
"MF","Daichi Kamada","Nov 5, 1996","Eintracht Frankfurt","Japan"
"MF","Ao Tanaka","Sep 10, 1998","Fortuna Dusseldorf","Japan"
"MF","Yuki Soma","Feb 25, 1997","Nagoya Grampus","Japan"
"FW","Takuma Asano","Nov 10, 1994","Bochum","Japan"
"FW","Shuto Machino","Sep 30, 1999","Shonan Bellmare","Japan"
"FW","Ayase Ueda","Aug 28, 1998","Cercle Brugge","Japan"
"FW","Daizen Maeda","Oct 20, 1997","Celtic","Japan"
"GK","Thibaut Courtois","May 11, 1992","Real Madrid","Belgium"
"GK","Simon Mignolet","Mar 6, 1988","Club Brugge","Belgium"
"GK","Koen Casteels","Jun 25, 1992","Wolfsburg","Belgium"
"DF","Toby Alderweireld","Mar 2, 1989","Antwerp","Belgium"
"DF","Arthur Theate","May 25, 2000","Rennes","Belgium"
"DF","Zeno Debast","Oct 24, 2003","Anderlecht","Belgium"
"DF","Jan Vertonghen","Apr 24, 1987","Anderlecht","Belgium"
"DF","Wout Faes","Apr 3, 1998","Leicester City","Belgium"
"DF","Timothy Castagne","Dec 5, 1995","Leicester","Belgium"
"DF","Thomas Meunier","Sep 12, 1991","Borussia Dortmund","Belgium"
"MF","Thorgan Hazard","Mar 29, 1993","Borussia Dortmund","Belgium"
"MF","Kevin De Bruyne","Jun 28, 1991","Manchester City","Belgium"
"MF","Yannick Carrasco","Sep 4, 1993","Atletico Madrid","Belgium"
"MF","Leander Dendoncker","Apr 15, 1995","Aston Villa","Belgium"
"MF","Amadou Onana","Aug 16, 2001","Everton","Belgium"
"MF","Youri Tielemans","May 7, 1997","Leicester City","Belgium"
"MF","Hans Vanaken","Aug 24, 1992","Club Brugge","Belgium"
"MF","Axel Witsel","Jan 12, 1989","Atletico Madrid","Belgium"
"MF","Charles De Ketelaere","Mar 10, 2001","AC Milan","Belgium"
"FW","Jeremy Doku","May 27, 2002","Rennes","Belgium"
"FW","Eden Hazard","Jan 7, 1991","Real Madrid","Belgium"
"FW","Dries Mertens","May 6, 1987","Galatasaray","Belgium"
"FW","Leandro Trossard","Dec 4, 1994","Brighton","Belgium"
"FW","Michy Batshuayi","Oct 2, 1993","Fenerbahce","Belgium"
"FW","Lois Openda","Feb 16, 2000","Lens","Belgium"
"FW","Romelu Lukaku","May 13, 1993","Inter","Belgium"
"GK","James Paternis","Feb 21, 1997",NA,"Canada"
"GK","Milan Borjan","Oct 23, 1987",NA,"Canada"
"GK","Dayne St Clair","May 9, 1997",NA,"Canada"
"DF","Alistair Johnson","Oct 8, 1998",NA,"Canada"
"DF","Sam Adekugbe","Jan 16, 1995",NA,"Canada"
"DF","Kamal Miller","May 16, 1997",NA,"Canada"
"DF","Steven Vitória","Jan 11, 1987",NA,"Canada"
"DF","Richie Laryea","Jan 7, 1995",NA,"Canada"
"DF","Derek Cornelius","Nov 25, 1997",NA,"Canada"
"DF","Joel Waterman","Jan 24, 1996",NA,"Canada"
"MF","Samuel Piette","Nov 12, 1994",NA,"Canada"
"MF","Stephen Eustaquio","Dec 21, 1996",NA,"Canada"
"MF","Atiba Hutchinson","Feb 8, 1983",NA,"Canada"
"MF","Mark-Anthony Kaye","Dec 4, 1994",NA,"Canada"
"MF","Jonathan Osorio","Jun 12, 1992",NA,"Canada"
"MF","David Wotherspoon","Jan 16, 1990",NA,"Canada"
"MF","Liam Fraser","Feb 13, 1998",NA,"Canada"
"MF","Ismael Kone","Jun 6, 2002",NA,"Canada"
"FW","Lucas Cavallini","Dec 28, 1992",NA,"Canada"
"FW","Junior Hoilett","Jun 5, 1990",NA,"Canada"
"FW","Tajon Buchanan","Feb 8, 1999",NA,"Canada"
"FW","Cyle Larin","Apr 17, 1995",NA,"Canada"
"FW","Alphonso Davies","Nov 2, 2000",NA,"Canada"
"FW","Jonathan David","Jan 14, 2000",NA,"Canada"
"FW","Liam Millar","Sep 27, 1999",NA,"Canada"
"FW","Ike Ugbo","Sep 21, 1998",NA,"Canada"
"GK","Yassine Bounou","Apr 5, 1991","Sevilla","Morocco"
"GK","Munir Mohamedi","May 10, 1989","Al Wehda","Morocco"
"GK","Ahmed Reda Tagnaouti","Apr 5, 1996","Wydad AC","Morocco"
"DF","Achraf Hakimi","Nov 4, 1998","PSG","Morocco"
"DF","Noussair Mazraoui","Nov 14, 1997","Bayern Munich","Morocco"
"DF","Nayef Aguerd","Mar 30, 1996","West Ham","Morocco"
"DF","Roman Saiss","Mar 26, 1990","Besiktas","Morocco"
"DF","Achraf Dari","May 6, 1999","Brest","Morocco"
"DF","Yahia Attiyat Allah","Mar 2, 1995","Wydad AC","Morocco"
"DF","Badr Benoun","Sep 30, 1993","Qatar SC","Morocco"
"DF","Jawad El Yamiq","Feb 29, 1992","Valladolid","Morocco"
"MF","Sofyan Amrabat","Aug 21, 1996","Fiorentina","Morocco"
"MF","Abdelhamid Sabiri","Nov 28, 1996","Sampdoria","Morocco"
"MF","Selim Amallah","Nov 15, 1996","Standard Liege","Morocco"
"MF","Azzedine Ounahi","Apr 19, 2000","Angers","Morocco"
"MF","Bilal El Khannous","May 10, 2004","Genk","Morocco"
"MF","Yahya Jabrane","Jun 18, 1991","Wydad AC","Morocco"
"FW","Hakim Ziyech","Mar 19, 1993","Chelsea","Morocco"
"FW","Sofiane Boufal","Sep 17, 1993","Angers","Morocco"
"FW","Zakaria Aboukhlal","Feb 18, 2000","Toulouse","Morocco"
"FW","Amine Harit","Jun 18, 1997","Marseille","Morocco"
"FW","Abde Ezzalzouli","Dec 17, 2001","Osasuna","Morocco"
"FW","Ilias Chair","Oct 30, 1997","QPR","Morocco"
"FW","Youssef En-Nesyri","Jun 1, 1997","Sevilla","Morocco"
"FW","Walid Cheddira","Jan 22, 1998","Bari","Morocco"
"FW","Abderrazak Hamdallah","Dec 17, 1990","Al-Ittihad","Morocco"
"GK","Dominik Livakovic","Jan 9, 1995","Dinamo Zagreb","Croatia"
"GK","Ivica Ivusic","Feb 1, 1995","Osijek","Croatia"
"GK","Ivo Grbic","Jan 18, 1996","Atletico Madrid","Croatia"
"DF","Domagoj Vida","Apr 29, 1989","AEK Athens","Croatia"
"DF","Dejan Lovren","Jul 5, 1989","Zenit","Croatia"
"DF","Borna Barisic","Nov 10, 1992","Rangers","Croatia"
"DF","Josip Juranovic","Aug 16, 1995","Celtic","Croatia"
"DF","Borna Sosa","Jan 21, 1998","Stuttgart","Croatia"
"DF","Josko Gvardiol","Jan 23, 2002","RB Leipzig","Croatia"
"DF","Josip Stanisic","Apr 2, 2000","Bayern Munich","Croatia"
"DF","Martin Erlic","Jan 24, 1998","Sassuolo","Croatia"
"DF","Josip Sutalo","Feb 28, 2000","Dinamo Zagreb","Croatia"
"MF","Luka Modric","Sep 9, 1985","Real Madrid","Croatia"
"MF","Mateo Kovacic","May 6, 1994","Chelsea","Croatia"
"MF","Marcelo Brozovic","Nov 16, 1992","Inter","Croatia"
"MF","Mario Pasalic","Feb 9, 1995","Atalanta","Croatia"
"MF","Nikola Vlasic","Oct 4, 1997","Torino","Croatia"
"MF","Lovro Majer","Jan 17, 1998","Rennes","Croatia"
"MF","Kristijan Jakic","May 14, 1997","Eintracht Frankfurt","Croatia"
"MF","Luka Sucic","Sep 8, 2002","Red Bull Salzburg","Croatia"
"FW","Ivan Perisic","Feb 2, 1989","Tottenham","Croatia"
"FW","Andrej Kramaric","Jun 19, 1991","Hoffenheim","Croatia"
"FW","Bruno Petkovic","Sep 16, 1997","Dinamo Zagreb","Croatia"
"FW","Mislav Orsic","Dec 29, 1992","Dinamo Zagreb","Croatia"
"FW","Ante Budimir","Jul 22, 1991","Osasuna","Croatia"
"FW","Marko Livaja","Aug 26, 1993","Hajduk Split","Croatia"
"GK","Alisson","Oct 2, 1992","Liverpool","Brazil"
"GK","Ederson","Aug 17, 1993","Manchester City","Brazil"
"GK","Weverton","Dec 13, 1987","Palmeiras","Brazil"
"DF","Dani Alves","May 6, 1983","UNAM","Brazil"
"DF","Thiago Silva","Sep 22, 1984","Chelsea","Brazil"
"DF","Marquinhos","May 14, 1994","PSG","Brazil"
"DF","Danilo","Jul 15, 1991","Juventus","Brazil"
"DF","Alex Sandro","Jan 26, 1991","Juventus","Brazil"
"DF","Eder Militao","Jan 18, 1998","Real Madrid","Brazil"
"DF","Alex Telles","Dec 15, 1992","Sevilla","Brazil"
"DF","Bremer","Mar 18, 1997","Juventus","Brazil"
"MF","Casemiro","Feb 23, 1992","Manchester United","Brazil"
"MF","Lucas Paqueta","Aug 27, 1997","West Ham","Brazil"
"MF","Fabinho","Oct 23, 1993","Liverpool","Brazil"
"MF","Fred","Mar 5, 1993","Manchester United","Brazil"
"MF","Everton Ribeiro","Apr 10, 1989","Flamengo","Brazil"
"MF","Bruno Guimaraes","Nov 16, 1997","Newcastle United","Brazil"
"FW","Neymar","Feb 5, 1992","PSG","Brazil"
"FW","Gabriel Jesus","Apr 3, 1997","Arsenal","Brazil"
"FW","Richarlison","May 10, 1997","Tottenham","Brazil"
"FW","Vinicius Jr","Jul 12, 2000","Real Madrid","Brazil"
"FW","Antony","Feb 24, 2000","Manchester United","Brazil"
"FW","Raphinha","Dec 14, 1996","Barcelona","Brazil"
"FW","Rodrygo","Jan 9, 2001","Real Madrid","Brazil"
"FW","Gabriel Matinelli","Jun 18, 2001","Arsenal","Brazil"
"FW","Pedro","Jun 20, 1997","Flamengo","Brazil"
"GK","Marko Dmitrovic","January 24, 1992","Sevilla","Serbia"
"GK","Vanja Milinkovic-Savic","February 20, 1997","Torino","Serbia"
"GK","Predrag Rajkovic","October 31, 1995","Mallorca","Serbia"
"DF","Stefan Mitrovic","May 22, 1990","Getafe","Serbia"
"DF","Filip Mladenovic","August 15, 1991","Legia Warsaw","Serbia"
"DF","Strahinja Pavlovic","May 24, 2001","Salzburg","Serbia"
"DF","Milos Veljkovic","September 26, 1995","Werder Bremen","Serbia"
"DF","Strahinja Erakovic","January 22, 2001","Red Star Belgrade","Serbia"
"DF","Srdan Babic","April 22, 1996","Almeria","Serbia"
"DF","Nikola Milenkovic","October 12, 1997","Fiorentina","Serbia"
"MF","Nemanja Gudelj","November 16, 1991","Sevilla","Serbia"
"MF","Filip Kostic","November 1, 1992","Juventus","Serbia"
"MF","Nemanja Maksimovic","January 26, 1995","Getafe","Serbia"
"MF","Sergej Milinkovic-Savic","February 27, 1995","Lazio","Serbia"
"MF","Sasa Lukic","August 13, 1996","Torino","Serbia"
"MF","Andrija Zivkovic","July 11, 1996","PAOK","Serbia"
"MF","Uros Racic","March 17, 1998","Braga","Serbia"
"MF","Ivan Ilic","March 17, 2001","Verona","Serbia"
"MF","Darko Lazovic","September 15, 1990","Verona","Serbia"
"MF","Marko Grujic","April 13, 1996","Porto","Serbia"
"FW","Aleksandr Mitrovic","September 16, 1994","Fulham","Serbia"
"FW","Luka Jovic","December 23, 1997","Fiorentina","Serbia"
"FW","Dusan Vlahovic","January 28, 2000","Juventus","Serbia"
"FW","Nemanja Radonjic","February 15, 1996","Torino","Serbia"
"FW","Filip Duricic","January 30, 1992","Sampdoria","Serbia"
"FW","Dusan Tadic","November 20, 1988","Ajax","Serbia"
"GK","Yann Sommer","Dec 17, 1988","Borussia Monchengladbach","Switzerland"
"GK","Jonas Omlin","Jan 10, 1994","Montpellier","Switzerland"
"GK","Gregor Kobel","Dec 6, 1997","Borussia Dortmund","Switzerland"
"GK","Philipp Kohn","Apr 2, 1998","Red Bull Salzburg","Switzerland"
"DF","Ricardo Rodriguez","Aug 25, 1992","Torino","Switzerland"
"DF","Fabian Schar","Dec 20, 1991","Newcastle United","Switzerland"
"DF","Manuel Akanji","Jul 19, 1995","Manchester City","Switzerland"
"DF","Nico Elvedi","Sep 30, 1996","Borussia Monchengladbach","Switzerland"
"DF","Silvan Widmer","Mar 5, 1993","Mainz","Switzerland"
"DF","Eray Comert","Feb 4, 1998","Valencia","Switzerland"
"MF","Xherdan Shaqiri","Oct 10, 1991","Chicago Fire","Switzerland"
"MF","Granit Xhaka","Sep 27, 1992","Arsenal","Switzerland"
"MF","Remo Freuler","Apr 15, 1992","Nottingham Forest","Switzerland"
"MF","Denis Zakaria","Nov 20, 1996","Chelsea","Switzerland"
"MF","Djibril Sow","Feb 6, 1997","Eintracht Frankfurt","Switzerland"
"MF","Renato Steffen","Nov 3, 1991","Lugano","Switzerland"
"MF","Edimilson Fernandes","Apr 15, 1996","Mainz","Switzerland"
"MF","Fabian Frei","Jan 8, 1989","Basel","Switzerland"
"MF","Michel Aebischer","Jan 6, 1997","Bologna","Switzerland"
"MF","Ardon Jashari","Jun 30, 2002","Luzern","Switzerland"
"MF","Fabian Rieder","Feb 16, 2002","Young Boys","Switzerland"
"FW","Haris Seferovic","Feb 22, 1992","Galatasaray","Switzerland"
"FW","Breel Embolo","Feb 14, 1997","Monaco","Switzerland"
"FW","Ruben Vargas","Aug 5, 1998","Augsburg","Switzerland"
"FW","Christian Fassnacht","Nov 11, 1993","Young Boys","Switzerland"
"FW","Noah Okafor","May 24, 2000","Red Bull Salzburg","Switzerland"
"GK","Andre Onana","Apr 2, 1996","Inter","Cameroon"
"GK","Davis Epassy","Feb 2, 1993","Abha","Cameroon"
"GK","Simon Ngapandouetnbu","Apr 12, 1993","Marseille","Cameroon"
"DF","Jean-Charles Castelletto","Jan 26, 1995","Nantes","Cameroon"
"DF","Enzo Ebosse","Mar 11, 1999","Udinese","Cameroon"
"DF","Collins Fai","Aug 13, 1992","Al-Tai","Cameroon"
"DF","Olivier Mbaizo","Aug 15, 1997","Philadelphia Union","Cameroon"
"DF","Nouhou Tolo","Jun 23, 1997","Seattle Sounders","Cameroon"
"DF","Nicolas Nkoulou","Mar 27, 1990","Aris","Cameroon"
"DF","Christopher Wooh","Sept 18, 2001","Rennes","Cameroon"
"MF","Olivier Ntcham","Feb 9, 1996","Swansea City","Cameroon"
"MF","Gael Ondoua","Nov 4, 1995","Hannover","Cameroon"
"MF","Martin Hongla","Mar 16, 1998","Verona","Cameroon"
"MF","Pierre Kunde","Jul 26, 1995","Olympiacos","Cameroon"
"MF","Samuel Gouet","Dec 14, 1997","Mechelen","Cameroon"
"MF","Andre-Frank Zambo Anguissa","Nov 16, 1995","Napoli","Cameroon"
"MF","Jerome Ngom","Sept 30, 1998","San Diego Loyal SC","Cameroon"
"FW","Moumi Ngamaleu","Jul 9, 1994","Dynamo Moscow","Cameroon"
"FW","Christian Bassogog","Oct 18, 1995","Shanghai Shenhua","Cameroon"
"FW","Bryan Mbeumo","Aug 7, 1995","Brentford","Cameroon"
"FW","Georges-Kevin Nkoudou","Feb 13, 1995","Besiktas","Cameroon"
"FW","Jean-Pierre Nsame","May 1, 1993","Young Boys","Cameroon"
"FW","Vincent Aboubakar","Jan 22, 1992","Al-Nassr","Cameroon"
"FW","Karl Toko Ekambi","Sep 14, 1992","Lyon","Cameroon"
"FW","Eric Maxim Choupo-Moting","Mar 23, 1989","Bayern Munich","Cameroon"
"FW","Souaibou Marou","Dec 3, 2000","Coton Sport de Garoua","Cameroon"
"GK","Diogo Costa","September 19, 1999","Porto","Portugal"
"GK","Rui Patricio","February 15, 1988","Roma","Portugal"
"GK","Jose Sa","January 17, 1993","Wolves","Portugal"
"DF","Diogo Dalot","March 18, 1999","Manchester United","Portugal"
"DF","Danilo Pereira","September 9, 1991","PSG","Portugal"
"DF","Pepe","February 26, 1983","Porto","Portugal"
"DF","Ruben Dias","May 14, 1997","Manchester City","Portugal"
"DF","Antonio Silva","30 October, 2003","Benfica","Portugal"
"DF","Nuno Mendes","June 19, 2002","PSG","Portugal"
"DF","Joao Cancelo","May 27, 1994","Manchester City","Portugal"
"DF","Raphael Guerreiro","December 22, 1993","Borussia Dortmund","Portugal"
"MF","Joao Palhinha","July 9, 1995","Fulham","Portugal"
"MF","Ruben Neves","March 13, 1997","Wolves","Portugal"
"MF","Bernardo Silva","August 10, 1994","Manchester City","Portugal"
"MF","Bruno Fernandes","September 8, 1994","Manchester United","Portugal"
"MF","Joao Mario","January 19, 1993","Benfica","Portugal"
"MF","Matheus Nunes","August 27, 1998","Wolves","Portugal"
"MF","Otavio","February 9, 1995","Porto","Portugal"
"MF","William Carvalho","April 7, 1992","Real Betis","Portugal"
"MF","Vitinha","February 13, 2000","PSG","Portugal"
"FW","Andre Silva","November 6, 1995","RB Leipzig","Portugal"
"FW","Cristiano Ronaldo","February 5, 1985","Manchester United","Portugal"
"FW","Goncalo Ramos","June 20, 2001","Benfica","Portugal"
"FW","Joao Felix","November 10, 1999","Atletico Madrid","Portugal"
"FW","Rafael Leao","June 10, 1999","AC Milan","Portugal"
"FW","Ricardo Horta","September 15, 1994","SC Braga","Portugal"
"GK","Manaf Nurudeen","Feb 8, 1999","Eupen","Ghana"
"GK","Danlad Ibrahim","Dec 2, 2002","Asante Kotoko","Ghana"
"GK","Lawrence Ati Zigi","Nov 29, 1996","St. Gellen","Ghana"
"DF","Denis Odoi","May 27, 1988","Club Brugge","Ghana"
"DF","Tariq Lamptey","September 30, 2000","Brighton","Ghana"
"DF","Alidu Seidu","Jun 4, 2000","Clermont","Ghana"
"DF","Daniel Amartey","Dec 21, 1994","Leicester City","Ghana"
"DF","Joseph Aidoo","Sep 29, 1995","Celta Vigo","Ghana"
"DF","Alexander Djiku","Aug 9, 1994","Strasbourg","Ghana"
"DF","Mohammed Salisu","Apr 17, 1999","Southampton","Ghana"
"DF","Abdul-Rahman Baba","Jul 2, 1994","Reading","Ghana"
"DF","Gideon Mensah","Jul 18, 1998","Auxerre","Ghana"
"MF","Andre Ayew","Dec 17, 1989","Al-Sadd","Ghana"
"MF","Thomas Partey","Jun 13, 1993","Arsenal","Ghana"
"MF","Elisha Owusu","Nov 7, 1997","Gent","Ghana"
"MF","Salis Abdul Samed","Mar 26, 2000","Lens","Ghana"
"MF","Mohammed Kudus","Aug 2, 2000","Ajax","Ghana"
"MF","Daniel Kofi Kyereh","Mar 9, 1996","SC Freiburg","Ghana"
"FW","Daniel Barnieh Afriyie","Jun 26, 2001","Hearts of Oak","Ghana"
"FW","Kamal Sowah","Jan 9, 2000","Club Brugge","Ghana"
"FW","Issahaku Abdul Fatawu","Mar 8, 2004","Sporting CP","Ghana"
"FW","Osman Bukari","Dec 13, 1998","Red Star Belgrade","Ghana"
"FW","Inaki Williams","Jun 15, 1994","Athletic Club","Ghana"
"FW","Antoine Semenyo","Jan 7, 2000","Bristol City","Ghana"
"FW","Jordan Ayew","Sep 11, 1991","Crystal Palace","Ghana"
"FW","Kamaldeen Sulemana","Feb 15, 2002","Rennes","Ghana"
"GK","Fernando Muslera","June 16, 1986","Galatasaray","Uruguay"
"GK","Sergio Rochet","March 23, 1993","Nacional","Uruguay"
"GK","Sebastian Sosa","August 19, 1986","Independiente","Uruguay"
"DF","Ronald Araujo","March 7, 1999","Barcelona","Uruguay"
"DF","Martin Caceres","April 7, 1987","La Galaxy","Uruguay"
"DF","Sebastian Coates","October 7, 1990","Sporting CP","Uruguay"
"DF","Jose Maria Gimenez","January 20, 1995","Atletico Madrid","Uruguay"
"DF","Diego Godin","February 16, 1986","Velez Sarsfield","Uruguay"
"DF","Mathias Olivera","October 31, 1997","Napoli","Uruguay"
"DF","Jose Luis Rodriguez","March 14, 1997","Nacional","Uruguay"
"DF","Matias Vina","November 9, 1997","Roma","Uruguay"
"DF","Guillermo Varela","March 24, 1993","Flamengo","Uruguay"
"MF","Matias Vecino","August 24, 1991","Lazio","Uruguay"
"MF","Rodrigo Bentancur","June 25, 1997","Tottenham Hotspur","Uruguay"
"MF","Federico Valverde","July 22, 1998","Real Madrid","Uruguay"
"MF","Giorgian de Arrascaeta","June 1, 1994","Flamengo","Uruguay"
"MF","Lucas Torreira","February 11, 1996","Galatasaray","Uruguay"
"MF","Nicolas de la Cruz","June 1, 1997","River Plate","Uruguay"
"MF","Manuel Ugarte","April 11, 2001","Sporting CP","Uruguay"
